Alloy composition (at.\%) [ref.],Tg (K),Tx (K),Tl (K),Dmax (mm),Trg,1Tx,2,3m,4Trg,5,6,7,8,9I,1/10
Fe76Mo4(P0.45C0.2B0.2Si0.15)20 [23],744,788,1245,4,0.5976,44,0.3962,0.6683,0.0878,1.5729,0.3988,0.6329,1.6567,2.8072,5.1008
Fe66Co10Mo4(P0.45C0.2B0.2Si0.15)20 [40],744,788,1221,6,0.6093,44,0.401,0.6814,0.0922,1.652,0.4067,0.6454,1.6685,3.127,5.3502
Fe56Co20Mo4(P0.45C0.2B0.2Si0.15)20 [40],736,778,1220,5,0.6033,42,0.3978,0.6721,0.0868,1.6074,0.4006,0.6377,1.6603,2.931,5.169
Fe46Co30Mo4(P0.45C0.2B0.2Si0.15)20 [40],734,775,1233,3,0.5953,41,0.394,0.6618,0.0822,1.5531,0.3941,0.6286,1.6512,2.7119,4.9805
Fe72Y6B22 [41],898,944,1419,2,0.6328,46,0.4074,0.6977,0.0883,1.8119,0.4138,0.6653,1.6841,3.7572,5.6776
Fe71Ni1Y6B22 [41],883,926,1507,2,0.5859,43,0.3875,0.643,0.0689,1.484,0.3803,0.6145,1.6346,2.4223,4.6587
Fe70Ni2Y6B22 [41],880,925,1509,2,0.5832,45,0.3872,0.6428,0.0715,1.4706,0.3812,0.613,1.6343,2.3867,4.6589
Fe69Ni3Y6B22 [41],874,910,1503,1.5,0.5815,36,0.3828,0.6294,0.0572,1.4467,0.3685,0.6055,1.6227,2.2617,4.4433
Fe68Ni4Y6B22 [41],872,907,1470,1.5,0.5932,35,0.3873,0.6408,0.0585,1.5167,0.3746,0.617,1.6333,2.4952,4.6136
Fe67Ni5Y6B22 [41],866,891,1469,1,0.5895,25,0.3816,0.6236,0.0415,1.4776,0.3551,0.6065,1.6184,2.3096,4.3443
Fe70Co2Y6B22 [41],898,944,1420,2,0.6324,46,0.4073,0.6972,0.0881,1.8084,0.4135,0.6648,1.6836,3.7414,5.6668
Fe68Co4Y6B22 [41],896,941,1414,2,0.6337,45,0.4074,0.6973,0.0869,1.8166,0.4131,0.6655,1.6839,3.7686,5.6683
Fe66Co6Y6B22 [41],887,925,1509,2,0.5878,38,0.3861,0.6382,0.0611,1.4871,0.3746,0.613,1.6306,2.4057,4.5763
